======================================
Screen run started: Wed Jun 17 12:30:01 UTC 2026
======================================

[auto_screener] Starting screen — 2026-06-17 12:30
[auto_screener] NIFTY 500: 504 stocks
[auto_screener] Current universe: 10 stocks
[auto_screener] Fetching data for 504 stocks...
[kite_fetcher] ABSLAMC.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] PNB.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] TATASTEEL.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] JUBLPHARMA.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] ASTRAL.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] NLCINDIA.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] JBMA.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] TRIDENT.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] CASTROLIND.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] TATACAP.NS: 166 trading days loaded (2025-10-13 → 2026-06-16)
[kite_fetcher] ENDURANCE.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] ZFCVINDIA.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] SHYAMMETL.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] GRASIM.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] TEGA.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] NH.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] IEX.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] UTIAMC.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] VEDL.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] M&MFIN.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] ENGINERSIN.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] DMART.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] HINDZINC.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] SARDAEN.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] FACT.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] IPCALAB.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] PARADEEP.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] EXIDEIND.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] TATACHEM.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
[kite_fetcher] FIRSTCRY.NS: 456 trading days loaded (2024-08-13 → 2026-06-16)
[kite_fetcher] JIOFIN.NS: 699 trading days loaded (2023-08-21 → 2026-06-16)
[kite_fetcher] APARINDS.NS: 855 trading days loaded (2023-01-02 → 2026-06-16)
