======================================
Screen run started: Sun Jun 28 12:30:01 UTC 2026
======================================

[auto_screener] Starting screen — 2026-06-28 12:30
[auto_screener] NIFTY 500: 500 stocks
[auto_screener] Current universe: 9 stocks
[auto_screener] Fetching data for 500 stocks...
[kite_fetcher] Fetching NSE instrument list from Kite...
[kite_fetcher] Cached 9903 NSE instruments.
[kite_fetcher] Token expired — attempting automatic refresh via auto_login.py...
[kite_fetcher] ✅ Token refreshed successfully
[kite_fetcher] IRFC.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] PNBHOUSING.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] APARINDS.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] BANKINDIA.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] WHIRLPOOL.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] LLOYDSME.NS: 730 trading days loaded (2023-07-17 → 2026-06-25)
[kite_fetcher] ENGINERSIN.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] AADHARHFC.NS: 525 trading days loaded (2024-05-15 → 2026-06-25)
[kite_fetcher] GROWW.NS: 153 trading days loaded (2025-11-12 → 2026-06-25)
[kite_fetcher] MEESHO.NS: 133 trading days loaded (2025-12-10 → 2026-06-25)
[kite_fetcher] TRAVELFOOD.NS: 235 trading days loaded (2025-07-14 → 2026-06-25)
[kite_fetcher] CANBK.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] HDBFS.NS: 243 trading days loaded (2025-07-02 → 2026-06-25)
[kite_fetcher] NLCINDIA.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] ABFRL.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] COHANCE.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] M&MFIN.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] RRKABEL.NS: 685 trading days loaded (2023-09-20 → 2026-06-25)
[kite_fetcher] CHOLAFIN.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] EMMVEE.NS: 149 trading days loaded (2025-11-18 → 2026-06-25)
[kite_fetcher] IRCON.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] DALBHARAT.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] HEXT.NS: 331 trading days loaded (2025-02-19 → 2026-06-25)
[kite_fetcher] BLUEJET.NS: 657 trading days loaded (2023-11-01 → 2026-06-25)
[kite_fetcher] SHREECEM.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] INDUSINDBK.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] MCX.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] DIVISLAB.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] NHPC.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
[kite_fetcher] TITAGARH.NS: 862 trading days loaded (2023-01-02 → 2026-06-25)
