======================================
Screen run started: Wed Jul  1 12:30:01 UTC 2026
======================================

[auto_screener] Starting screen — 2026-07-01 12:30
[auto_screener] NIFTY 500: 500 stocks
[auto_screener] Current universe: 9 stocks
[auto_screener] Fetching data for 500 stocks...
[kite_fetcher] ARE&M.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ICICIPRULI.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ESCORTS.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] APLAPOLLO.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] GRAPHITE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] MAHABANK.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] IOC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] KARURVYSYA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] MINDACORP.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] RPOWER.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NMDC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] RAINBOW.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ASTERDM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] DIVISLAB.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] LTFOODS.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PNB.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CASTROLIND.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] HEROMOTOCO.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TIINDIA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SBICARD.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SBFC.NS: 711 trading days loaded (2023-08-16 → 2026-06-30)
[kite_fetcher] SJVN.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TEJASNET.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] KEI.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NIACL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] IRFC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ANTHEM.NS: 232 trading days loaded (2025-07-21 → 2026-06-30)
[kite_fetcher] BEML.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PERSISTENT.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SAGILITY.NS: 402 trading days loaded (2024-11-12 → 2026-06-30)
[kite_fetcher] HINDPETRO.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] HONASA.NS: 655 trading days loaded (2023-11-07 → 2026-06-30)
