======================================
Screen run started: Sun Jul  5 12:30:01 UTC 2026
======================================

[auto_screener] Starting screen — 2026-07-05 12:30
[auto_screener] NIFTY 500: 500 stocks (live, cache updated)
[auto_screener] Current universe: 8 stocks
[auto_screener] Fetching data for 500 stocks (rate-limited to 55 req/min)...
[kite_fetcher] JSL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] POLYMED.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TATAINVEST.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] MANKIND.NS: 783 trading days loaded (2023-05-09 → 2026-07-03)
[kite_fetcher] JUBLPHARMA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] RHIM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HFCL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] VTL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] JSWINFRA.NS: 682 trading days loaded (2023-10-03 → 2026-07-03)
[kite_fetcher] BSE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TATACHEM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BALKRISIND.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HYUNDAI.NS: 420 trading days loaded (2024-10-22 → 2026-07-03)
[kite_fetcher] CIEINDIA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] IRB.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] INDIACEM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] LT.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] VOLTAS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] MANAPPURAM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] RECLTD.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] FIRSTCRY.NS: 468 trading days loaded (2024-08-13 → 2026-07-03)
[kite_fetcher] TMPV.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] LICI.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] URBANCO.NS: 195 trading days loaded (2025-09-17 → 2026-07-03)
[kite_fetcher] OIL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BANKBARODA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] PPLPHARMA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SUPREMEIND.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TCS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HOMEFIRST.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ESCORTS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SARDAEN.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
