======================================
Screen run started: Sun Jul 12 12:30:02 UTC 2026
======================================

[auto_screener] Starting screen — 2026-07-12 12:30
[auto_screener] NIFTY 500: 500 stocks (live, cache updated)
[auto_screener] Current universe: 9 stocks
[auto_screener] Fetching data for 500 stocks (rate-limited to 55 req/min)...
[kite_fetcher] Fetching NSE instrument list from Kite...
[kite_fetcher] Cached 9946 NSE instruments.
[kite_fetcher] Token expired — attempting automatic refresh via auto_login.py...
[kite_fetcher] ✅ Token refreshed successfully
[kite_fetcher] CROMPTON.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] PIRAMALFIN.NS: 166 trading days loaded (2025-11-07 → 2026-07-10)
[kite_fetcher] CYIENT.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] TIINDIA.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] IGIL.NS: 384 trading days loaded (2024-12-20 → 2026-07-10)
[kite_fetcher] OLAELEC.NS: 475 trading days loaded (2024-08-09 → 2026-07-10)
[kite_fetcher] MRPL.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] DIXON.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] CGCL.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] SBIN.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] HDFCBANK.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] JBCHEPHARM.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] ANANTRAJ.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] BHARTIHEXA.NS: 556 trading days loaded (2024-04-12 → 2026-07-10)
[kite_fetcher] SUMICHEM.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] TORNTPOWER.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] PIIND.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] NAUKRI.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] TVSMOTOR.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] DEVYANI.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] TTML.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] KEI.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] ICICIPRULI.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] ABBOTINDIA.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] TENNIND.NS: 158 trading days loaded (2025-11-19 → 2026-07-10)
[kite_fetcher] FLUOROCHEM.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] MAHABANK.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] GICRE.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
[kite_fetcher] GABRIEL.NS: 872 trading days loaded (2023-01-02 → 2026-07-10)
