======================================
Screen run started: Wed Jul 15 12:30:01 UTC 2026
======================================

[auto_screener] Starting screen — 2026-07-15 12:30
[auto_screener] NIFTY 500: 500 stocks (live, cache updated)
[auto_screener] Current universe: 9 stocks
[auto_screener] Fetching data for 500 stocks (rate-limited to 55 req/min)...
[kite_fetcher] ACUTAAS.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] BSOFT.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] NLCINDIA.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] LT.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] FORCEMOT.NS: 798 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] ASAHIINDIA.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] SARDAEN.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] GLAXO.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] PNB.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] RBLBANK.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] SUNPHARMA.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] KAJARIACER.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] JBCHEPHARM.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] BEL.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] BAJFINANCE.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] CPPLUS.NS: 231 trading days loaded (2025-08-05 → 2026-07-14)
[kite_fetcher] NUVAMA.NS: 693 trading days loaded (2023-09-26 → 2026-07-14)
[kite_fetcher] POLYCAB.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] NESTLEIND.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] GLENMARK.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] ZFCVINDIA.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] LUPIN.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] VMM.NS: 388 trading days loaded (2024-12-18 → 2026-07-14)
[kite_fetcher] TIINDIA.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] CASTROLIND.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] LICI.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] IFCI.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] BOSCHLTD.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] ZEEL.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
[kite_fetcher] JAINREC.NS: 192 trading days loaded (2025-10-01 → 2026-07-14)
[kite_fetcher] TECHNOE.NS: 874 trading days loaded (2023-01-02 → 2026-07-14)
