date,ticker,signal,close_price,exec_price,shares_affected,cash_after,portfolio_value,pnl_pct,exit_reason,chandelier_stop,bars_in_cooldown,note
2026-06-03,TMPV.NS,BUY,390.2000,390.3951,44,47983.14,99894.04,-0.1060,,356.7941,,stop=chandelier dist=₹34 binding=risk_budget
2026-06-03,WHIRLPOOL.NS,BUY,829.5000,829.9147,16,47983.14,99894.04,-0.1060,,741.2151,,stop=chandelier dist=₹89 binding=risk_budget
2026-06-03,SIEMENS.NS,BUY,3729.7000,3731.5648,3,47983.14,99894.04,-0.1060,,3267.0000,,stop=chandelier dist=₹465 binding=risk_budget
2026-06-03,BAJAJ-AUTO.NS,BUY,10281.0000,10286.1405,1,47983.14,99894.04,-0.1060,,9646.1953,,stop=chandelier dist=₹640 binding=position_cap
2026-06-03,TMPV.NS,HOLD,385.7500,,,61073.31,99357.11,-0.6429,,358.1194,,
2026-06-03,WHIRLPOOL.NS,SELL,820.0000,819.5900,16,61073.31,99357.11,-0.6429,STRATEGY_SIGNAL,742.5000,,
2026-06-03,SIEMENS.NS,HOLD,3678.6000,,,61073.31,99357.11,-0.6429,,3337.6021,,
2026-06-03,BAJAJ-AUTO.NS,HOLD,10275.0000,,,61073.31,99357.11,-0.6429,,9660.1410,,
2026-06-03,TMPV.NS,HOLD,398.0000,,,61073.31,99916.41,-0.0836,,364.2512,,
2026-06-03,WHIRLPOOL.NS,HOLD,816.0000,,,61073.31,99916.41,-0.0836,,,,
2026-06-03,SIEMENS.NS,HOLD,3698.7000,,,61073.31,99916.41,-0.0836,,3337.6021,,
2026-06-03,BAJAJ-AUTO.NS,HOLD,10235.0000,,,61073.31,99916.41,-0.0836,,9660.1410,,
2026-06-04,TMPV.NS,HOLD,400.3500,,,61073.31,100109.81,0.1098,,365.8592,,
2026-06-04,WHIRLPOOL.NS,HOLD,808.6500,,,61073.31,100109.81,0.1098,,,,
2026-06-04,SIEMENS.NS,HOLD,3685.7000,,,61073.31,100109.81,0.1098,,3353.2114,,
2026-06-04,BAJAJ-AUTO.NS,HOLD,10364.0000,,,61073.31,100109.81,0.1098,,9669.9390,,
2026-06-05,TMPV.NS,HOLD,397.4500,,,61073.31,100013.81,0.0138,,368.0251,,
2026-06-05,WHIRLPOOL.NS,HOLD,799.0000,,,61073.31,100013.81,0.0138,,,,
2026-06-05,SIEMENS.NS,HOLD,3700.9000,,,61073.31,100013.81,0.0138,,3360.9501,,
2026-06-05,BAJAJ-AUTO.NS,HOLD,10350.0000,,,61073.31,100013.81,0.0138,,9686.5885,,
2026-06-09,TMPV.NS,HOLD,387.9000,,,61073.31,99199.41,-0.8006,,368.6279,,
2026-06-09,WHIRLPOOL.NS,HOLD,777.0000,,,61073.31,99199.41,-0.8006,,,,
2026-06-09,SIEMENS.NS,HOLD,3619.5000,,,61073.31,99199.41,-0.8006,,3366.0000,,
2026-06-09,BAJAJ-AUTO.NS,HOLD,10200.0000,,,61073.31,99199.41,-0.8006,,9704.5421,,
2026-06-10,TMPV.NS,HOLD,381.0000,,,61073.31,98647.61,-1.3524,,368.9391,,
2026-06-10,WHIRLPOOL.NS,HOLD,785.4500,,,61073.31,98647.61,-1.3524,,,,
2026-06-10,SIEMENS.NS,HOLD,3560.1000,,,61073.31,98647.61,-1.3524,,3366.0000,,
2026-06-10,BAJAJ-AUTO.NS,HOLD,10130.0000,,,61073.31,98647.61,-1.3524,,9715.5846,,
2026-06-11,TMPV.NS,HOLD,376.3000,,,61073.31,98339.51,-1.6605,,369.2738,,
2026-06-11,WHIRLPOOL.NS,HOLD,769.3500,,,61073.31,98339.51,-1.6605,,,,
2026-06-11,SIEMENS.NS,HOLD,3528.0000,,,61073.31,98339.51,-1.6605,,3366.0000,,
2026-06-11,BAJAJ-AUTO.NS,HOLD,10125.0000,,,61073.31,98339.51,-1.6605,,9724.2596,,
2026-06-12,TMPV.NS,HOLD,391.0000,,,61073.31,99043.31,-0.9567,,369.2738,,
2026-06-12,WHIRLPOOL.NS,HOLD,770.0000,,,61073.31,99043.31,-0.9567,,,,
2026-06-12,SIEMENS.NS,HOLD,3564.0000,,,61073.31,99043.31,-0.9567,,3366.0000,,
2026-06-12,BAJAJ-AUTO.NS,HOLD,10074.0000,,,61073.31,99043.31,-0.9567,,9724.2596,,
